iter	Passed	Remaining
418	2505	3473
419	2510	3466
420	2516	3460
421	2521	3454
422	2527	3447
423	2532	3441
424	2538	3434
425	2544	3428
426	2549	3421
427	2555	3415
428	2560	3408
429	2566	3402
430	2572	3395
431	2577	3389
432	2583	3382
433	2588	3376
434	2594	3369
435	2599	3362
436	2605	3356
437	2611	3350
438	2618	3345
439	2624	3339
440	2630	3333
441	2636	3328
442	2641	3321
443	2647	3314
444	2653	3309
445	2659	3303
446	2665	3297
447	2671	3291
448	2676	3284
449	2681	3277
450	2687	3271
451	2693	3265
452	2698	3258
453	2703	3251
454	2709	3245
455	2714	3238
456	2720	3232
457	2725	3225
458	2730	3218
459	2736	3211
460	2741	3205
461	2747	3199
462	2753	3193
463	2759	3188
464	2765	3181
465	2770	3174
466	2776	3168
467	2781	3162
468	2787	3155
469	2792	3149
470	2798	3143
471	2804	3137
472	2809	3130
473	2816	3125
474	2821	3118
475	2827	3112
476	2833	3106
477	2839	3100
478	2844	3094
479	2850	3088
480	2856	3082
481	2862	3076
482	2868	3070
483	2873	3063
484	2879	3057
485	2884	3050
486	2889	3044
487	2895	3037
488	2900	3031
489	2906	3024
490	2911	3018
491	2917	3012
492	2923	3006
493	2929	3000
494	2935	2994
495	2941	2988
496	2946	2982
497	2952	2976
498	2957	2969
499	2963	2963
500	2969	2957
501	2975	2951
502	2980	2945
503	2986	2939
504	2992	2933
505	2997	2926
506	3003	2920
507	3008	2914
508	3014	2907
509	3019	2901
510	3026	2895
511	3032	2889
512	3037	2883
513	3043	2877
514	3048	2870
515	3053	2864
516	3059	2858
517	3065	2852
518	3070	2845
519	3077	2840
520	3082	2834
521	3088	2827
522	3094	2822
523	3099	2815
524	3106	2810
525	3111	2804
526	3117	2798
527	3122	2791
528	3128	2785
529	3134	2779
530	3139	2772
531	3144	2766
532	3150	2760
533	3156	2754
534	3162	2748
535	3168	2743
536	3175	2737
537	3181	2732
538	3187	2726
539	3193	2720
540	3199	2714
541	3205	2708
542	3211	2702
543	3217	2696
544	3222	2690
545	3228	2684
546	3234	2678
547	3240	2672
548	3246	2666
549	3251	2660
550	3257	2654
551	3263	2648
552	3268	2642
553	3274	2635
554	3279	2629
555	3285	2623
556	3291	2617
557	3296	2611
558	3302	2605
559	3307	2598
560	3312	2592
561	3319	2586
562	3326	2581
563	3332	2575
564	3337	2569
565	3342	2563
566	3348	2556
567	3354	2551
568	3359	2544
569	3364	2538
570	3370	2532
571	3376	2526
572	3381	2520
573	3387	2514
574	3392	2507
575	3399	2502
576	3405	2496
577	3412	2491
578	3417	2485
579	3423	2478
580	3428	2472
581	3433	2466
582	3439	2460
583	3445	2454
584	3452	2448
585	3457	2442
586	3463	2436
587	3468	2430
588	3474	2424
589	3480	2418
590	3485	2412
591	3491	2406
592	3496	2400
593	3502	2394
594	3508	2388
595	3514	2382
