iter	Logloss
0	0.6537678782
1	0.6182147013
2	0.5862952169
3	0.559127889
4	0.5338648427
5	0.5109127706
6	0.488060463
7	0.4679924113
8	0.4521071192
9	0.4348352585
10	0.4186027629
11	0.4043891678
12	0.3912434591
13	0.3798891551
14	0.3696497904
15	0.3614646378
16	0.3538894958
17	0.3467854004
18	0.3385258382
19	0.332382314
20	0.3258418732
21	0.3209670181
22	0.3153143285
23	0.3105312119
24	0.3064005483
25	0.3014332987
26	0.2984452972
27	0.29493396
28	0.2913935623
29	0.2880062383
30	0.28494959
31	0.2818118896
32	0.2791461156
33	0.2764732997
34	0.2742010727
35	0.2720942764
36	0.2701403592
37	0.2681247762
38	0.2666311963
39	0.2651264089
40	0.2631614215
41	0.2615658417
42	0.2602673403
43	0.2587323608
44	0.2577964261
45	0.2567089119
46	0.2552920698
47	0.2538784434
48	0.2529497515
49	0.2518674952
50	0.2509248873
51	0.2497737796
52	0.2489687424
53	0.2480451113
54	0.2472542267
55	0.2466675784
56	0.2457365443
57	0.2449416122
58	0.2444016266
59	0.2438338572
60	0.2430415154
61	0.2422954178
62	0.2418753904
63	0.2413978844
64	0.2407777239
65	0.2402398071
66	0.2397037926
67	0.2391183345
68	0.2385746956
69	0.2382269287
70	0.2377516696
71	0.2373211403
72	0.2368562622
73	0.23637146
74	0.2360387319
75	0.2357308159
76	0.2354747938
77	0.2352243156
78	0.2346663742
79	0.2343728625
80	0.2340013771
81	0.2336637675
82	0.2335148837
83	0.2331865336
84	0.2327855479
85	0.2324894129
86	0.2321628087
87	0.2318213781
88	0.2315544662
89	0.2313468615
90	0.2310017141
91	0.2307619603
92	0.2305274836
93	0.2302987277
94	0.2301258748
95	0.229877786
96	0.2296889038
97	0.2293972994
98	0.2291290385
99	0.2287920227
100	0.2286855431
101	0.2284459661
102	0.2282467054
103	0.2280570246
104	0.2279015503
105	0.2277114156
106	0.22756508
107	0.2274301554
108	0.2272390976
109	0.2271104355
110	0.2268981018
111	0.2266982358
112	0.2264886665
113	0.2263262698
114	0.2261112188
115	0.2258543663
116	0.2257482796
117	0.2256191266
118	0.2253756091
119	0.2252334646
120	0.2250656052
121	0.2249151014
122	0.2248379199
123	0.2246694387
124	0.224319636
125	0.2242070554
126	0.224120252
127	0.2238862432
128	0.2237351011
129	0.2234962311
130	0.223329586
131	0.2231727155
132	0.2230639941
133	0.2229250374
134	0.2227335167
135	0.2226341667
136	0.222445638
137	0.2222911046
138	0.2221318321
139	0.2219971174
140	0.2219078522
141	0.2219009933
142	0.2216427561
143	0.2214447454
144	0.2212863998
145	0.2210854568
146	0.2209853172
147	0.2207482719
148	0.2205764809
149	0.2205501099
150	0.2203744672
151	0.2202476616
152	0.2201054586
153	0.2198614922
154	0.2197728081
155	0.2196709302
156	0.2194949913
157	0.219407622
158	0.2192834269
159	0.2191802826
160	0.2190182457
161	0.2188468221
162	0.2186603826
163	0.2184839261
164	0.2183804067
165	0.2182080599
166	0.2181145401
167	0.2179732602
168	0.2178634961
169	0.2177410075
170	0.217624911
171	0.2174550819
172	0.2173589719
173	0.2171597977
174	0.2170478821
175	0.2167925084
176	0.2165938301
177	0.2164142558
178	0.2163141416
179	0.2160970421
180	0.216084947
181	0.2160089124
182	0.2157480787
183	0.2154892286
184	0.2153434092
185	0.215187898
186	0.2150910314
187	0.2149914449
188	0.2148969294
189	0.214697024
190	0.2144677684
191	0.2143894272
192	0.2141541621
193	0.2140789909
194	0.2139385796
195	0.2138443985
196	0.213787768
197	0.2136314125
198	0.2135282669
199	0.2134672089
200	0.2133191668
201	0.2132060712
202	0.2130745544
203	0.212987587
204	0.2129091682
205	0.2127825012
206	0.2126616275
207	0.212517259
208	0.2124193853
209	0.2122625936
210	0.2121387126
211	0.2120177739
212	0.2118732885
213	0.2116742948
214	0.2115757662
215	0.2114690056
216	0.2113346087
217	0.211215992
218	0.2111777471
219	0.2111020953
