iter	Passed	Remaining
0	11	11905
1	19	9718
2	26	8768
3	33	8263
4	40	7969
5	45	7573
6	54	7672
7	61	7647
8	69	7610
9	77	7635
10	83	7535
11	90	7420
12	96	7316
13	102	7240
14	109	7162
15	115	7119
16	122	7060
17	128	7003
18	135	7007
19	142	6967
20	149	6984
21	156	6955
22	163	6939
23	170	6930
24	177	6906
25	183	6874
26	190	6866
27	196	6824
28	202	6787
29	208	6755
30	215	6745
31	222	6726
32	228	6698
33	235	6698
34	242	6678
35	248	6659
36	255	6636
37	262	6639
38	269	6630
39	275	6607
40	281	6581
41	287	6561
42	295	6579
43	303	6596
44	310	6595
45	318	6599
46	326	6620
47	333	6610
48	340	6599
49	347	6595
50	354	6595
51	361	6582
52	367	6573
53	374	6565
54	382	6576
55	389	6570
56	396	6554
57	402	6537
58	409	6528
59	416	6528
60	423	6512
61	429	6495
62	435	6476
63	441	6457
64	448	6446
65	454	6438
66	461	6425
67	467	6409
68	474	6404
69	481	6395
70	488	6389
71	494	6378
72	501	6367
73	508	6362
74	514	6349
75	521	6343
76	528	6336
77	535	6325
78	541	6314
79	548	6306
80	554	6293
81	561	6283
82	567	6274
83	574	6259
84	580	6244
85	586	6237
86	593	6226
87	600	6219
88	606	6209
89	612	6195
90	619	6184
91	625	6175
92	632	6168
93	639	6160
94	645	6148
95	651	6137
96	658	6129
97	665	6124
98	672	6117
99	678	6106
100	684	6092
101	690	6082
102	697	6073
103	703	6062
104	709	6050
105	715	6038
106	722	6031
107	729	6024
108	736	6016
109	742	6008
110	749	5999
111	755	5993
112	762	5987
113	769	5978
114	775	5967
115	781	5955
116	787	5946
117	794	5937
118	800	5927
119	807	5919
120	813	5906
121	819	5894
122	825	5884
123	831	5877
124	838	5869
125	845	5861
126	850	5848
127	856	5837
128	862	5826
129	869	5816
130	875	5807
131	881	5798
132	888	5790
133	894	5782
134	901	5773
135	907	5766
136	914	5759
137	921	5753
138	927	5746
139	933	5736
140	940	5727
141	946	5718
142	951	5702
143	957	5692
144	963	5684
145	970	5676
146	976	5667
147	983	5659
148	988	5648
149	995	5639
150	1001	5629
151	1007	5620
152	1013	5612
153	1020	5605
154	1026	5596
155	1033	5588
156	1039	5579
157	1045	5571
158	1051	5560
159	1057	5553
160	1064	5544
161	1069	5533
162	1075	5521
163	1081	5511
164	1086	5499
165	1092	5489
166	1098	5479
167	1105	5475
168	1111	5463
169	1117	5454
170	1123	5445
171	1128	5433
172	1134	5422
173	1140	5412
174	1145	5401
175	1151	5391
176	1157	5383
177	1163	5375
178	1169	5364
179	1175	5354
180	1181	5346
181	1187	5338
182	1193	5327
183	1199	5317
184	1205	5308
185	1210	5299
186	1216	5289
187	1222	5280
188	1228	5271
189	1234	5263
190	1240	5254
191	1246	5245
192	1252	5235
193	1257	5226
194	1263	5215
195	1269	5208
196	1275	5200
197	1282	5192
198	1288	5187
199	1295	5181
200	1300	5170
201	1306	5161
202	1312	5152
203	1318	5143
204	1323	5133
205	1329	5124
206	1335	5115
207	1340	5105
208	1346	5096
209	1352	5087
210	1358	5080
211	1364	5072
212	1370	5062
213	1376	5054
214	1383	5051
215	1390	5046
216	1395	5037
217	1402	5029
218	1407	5020
219	1413	5011
220	1418	5001
221	1424	4993
222	1430	4983
223	1435	4974
224	1441	4964
225	1446	4955
226	1453	4948
227	1458	4939
228	1464	4931
229	1470	4922
230	1475	4913
231	1481	4905
232	1487	4897
233	1493	4888
234	1498	4879
235	1504	4870
236	1509	4860
237	1515	4853
238	1522	4846
239	1528	4838
240	1533	4830
241	1540	4824
242	1546	4818
243	1552	4810
244	1558	4802
245	1564	4795
246	1570	4787
247	1575	4778
248	1581	4771
249	1588	4765
250	1594	4757
251	1600	4750
252	1606	4743
253	1612	4735
254	1618	4728
255	1624	4719
256	1630	4713
257	1637	4708
258	1642	4700
259	1648	4693
260	1654	4685
261	1660	4677
262	1666	4670
263	1672	4663
264	1679	4657
265	1684	4649
266	1691	4642
267	1696	4634
268	1702	4626
269	1708	4618
270	1714	4611
271	1720	4604
272	1725	4596
273	1731	4588
274	1738	4583
275	1744	4576
276	1750	4568
277	1756	4561
278	1762	4554
279	1768	4547
280	1774	4541
281	1781	4535
282	1787	4527
283	1792	4519
284	1798	4512
285	1805	4506
286	1810	4498
287	1817	4492
288	1823	4485
289	1829	4478
290	1835	4472
291	1841	4464
292	1846	4456
293	1852	4448
294	1858	4441
295	1864	4433
296	1869	4426
297	1875	4418
298	1881	4411
299	1887	4405
300	1894	4399
301	1900	4392
302	1906	4385
303	1912	4377
304	1917	4370
305	1923	4363
306	1929	4356
307	1935	4348
308	1941	4342
309	1947	4335
310	1953	4328
311	1959	4320
312	1964	4312
313	1970	4305
314	1976	4298
315	1982	4292
316	1988	4284
317	1994	4276
318	2000	4270
319	2005	4262
320	2012	4256
321	2017	4249
322	2024	4242
323	2029	4235
324	2035	4228
325	2042	4222
326	2048	4215
327	2053	4207
328	2060	4201
329	2065	4194
330	2071	4186
331	2077	4180
332	2084	4175
333	2090	4168
334	2096	4161
335	2102	4154
336	2108	4148
337	2114	4140
338	2119	4133
339	2126	4127
340	2132	4120
341	2137	4112
342	2143	4105
343	2149	4099
344	2155	4092
345	2160	4084
346	2166	4077
347	2172	4071
348	2179	4064
349	2184	4057
350	2190	4050
351	2196	4043
352	2202	4036
353	2207	4028
354	2213	4021
355	2219	4015
356	2225	4008
357	2231	4001
358	2237	3994
359	2243	3988
360	2249	3981
361	2255	3975
362	2261	3969
363	2267	3962
364	2274	3956
365	2280	3950
366	2286	3943
367	2292	3937
368	2298	3930
369	2304	3924
370	2310	3917
371	2316	3910
372	2322	3903
373	2328	3896
374	2333	3889
375	2339	3882
376	2345	3875
377	2351	3869
378	2357	3862
379	2363	3855
380	2369	3849
381	2375	3843
382	2382	3838
383	2388	3831
384	2395	3826
385	2400	3819
386	2407	3812
387	2413	3806
388	2418	3799
389	2424	3792
390	2430	3786
391	2436	3778
392	2442	3772
393	2448	3765
394	2453	3758
395	2459	3751
396	2465	3745
397	2471	3738
398	2478	3732
399	2483	3725
400	2490	3719
401	2495	3712
402	2501	3705
403	2507	3698
404	2512	3691
405	2518	3685
406	2524	3678
407	2530	3672
408	2536	3665
409	2543	3659
410	2548	3652
411	2555	3646
412	2561	3640
413	2567	3634
414	2574	3628
415	2580	3622
416	2586	3615
417	2591	3608
418	2597	3601
419	2603	3594
420	2608	3588
421	2614	3581
422	2620	3574
423	2626	3567
424	2632	3561
425	2638	3554
426	2644	3548
427	2649	3541
428	2656	3535
429	2661	3528
430	2667	3522
431	2673	3515
432	2679	3509
433	2687	3504
434	2693	3499
435	2700	3492
436	2706	3486
437	2712	3479
438	2718	3473
439	2724	3467
440	2730	3461
441	2736	3454
442	2742	3447
443	2748	3441
444	2753	3434
445	2760	3428
446	2765	3421
447	2771	3414
448	2777	3408
449	2783	3402
450	2789	3395
451	2795	3389
452	2801	3383
453	2807	3376
454	2813	3370
455	2819	3363
456	2825	3357
457	2831	3350
458	2836	3343
459	2843	3337
460	2849	3331
461	2854	3324
462	2860	3318
463	2866	3311
464	2872	3304
465	2877	3297
466	2884	3292
467	2891	3286
468	2897	3280
469	2902	3273
470	2908	3267
471	2915	3260
472	2920	3254
473	2927	3249
474	2934	3243
475	2940	3236
476	2946	3230
477	2952	3224
478	2958	3217
479	2964	3211
480	2970	3205
481	2976	3198
482	2982	3192
483	2988	3185
484	2994	3179
485	3000	3172
486	3006	3166
487	3012	3160
488	3018	3153
489	3024	3147
490	3029	3140
491	3035	3134
492	3041	3128
493	3047	3121
494	3053	3115
495	3059	3109
496	3065	3102
497	3071	3096
498	3078	3090
499	3084	3084
500	3090	3077
501	3096	3071
502	3102	3065
503	3108	3059
504	3114	3052
505	3119	3045
506	3125	3039
507	3131	3033
508	3137	3026
509	3143	3020
510	3149	3014
511	3156	3008
512	3162	3002
513	3168	2995
514	3174	2989
515	3180	2982
516	3186	2976
517	3192	2970
518	3198	2964
519	3204	2957
520	3209	2951
521	3215	2944
522	3221	2938
523	3227	2932
524	3234	2926
525	3240	2920
526	3247	2914
527	3253	2908
528	3259	2902
529	3265	2895
530	3271	2889
531	3276	2882
532	3282	2875
533	3288	2869
534	3294	2863
535	3300	2857
536	3306	2850
537	3312	2844
538	3317	2837
539	3323	2830
540	3328	2824
541	3334	2817
542	3340	2811
543	3347	2805
544	3352	2799
545	3358	2792
546	3364	2786
547	3370	2780
548	3376	2773
549	3381	2766
550	3387	2760
551	3392	2753
552	3398	2746
553	3403	2739
554	3409	2733
555	3414	2726
556	3419	2719
557	3424	2712
558	3430	2706
559	3436	2699
560	3441	2692
561	3446	2686
562	3452	2679
563	3457	2672
564	3462	2666
565	3468	2659
566	3473	2652
567	3479	2646
568	3485	2639
569	3490	2633
570	3495	2626
571	3500	2619
572	3505	2612
573	3511	2605
574	3516	2598
575	3521	2592
576	3526	2585
577	3532	2578
578	3537	2572
579	3542	2565
580	3547	2558
581	3553	2551
582	3558	2545
583	3563	2538
584	3569	2531
585	3574	2525
586	3579	2518
587	3584	2511
588	3589	2504
589	3594	2497
590	3600	2491
591	3605	2484
592	3610	2477
593	3615	2471
594	3620	2464
595	3625	2457
596	3630	2450
597	3635	2444
598	3641	2437
599	3646	2430
600	3651	2424
601	3657	2417
602	3662	2411
603	3667	2404
604	3673	2398
605	3678	2391
606	3683	2384
607	3688	2378
608	3694	2371
609	3699	2365
610	3704	2358
611	3709	2351
612	3714	2345
613	3719	2338
614	3725	2332
615	3730	2325
616	3735	2318
617	3740	2311
618	3745	2305
619	3750	2298
620	3755	2292
621	3760	2285
622	3766	2279
623	3771	2272
624	3776	2265
625	3781	2259
626	3786	2252
627	3792	2246
628	3797	2239
629	3802	2233
630	3807	2226
631	3813	2220
632	3818	2214
633	3823	2207
634	3828	2200
635	3833	2194
636	3839	2187
637	3844	2181
638	3849	2174
639	3855	2168
640	3860	2162
641	3866	2156
642	3872	2149
643	3877	2143
644	3882	2137
645	3888	2130
646	3893	2124
647	3898	2117
648	3903	2111
649	3909	2104
650	3914	2098
651	3919	2092
652	3925	2085
653	3930	2079
654	3936	2073
655	3941	2066
656	3946	2060
657	3952	2054
658	3957	2047
659	3963	2041
660	3968	2035
661	3974	2029
662	3980	2023
663	3985	2016
664	3990	2010
