iter	Logloss
0	0.6526729329
1	0.6168277995
2	0.584822642
3	0.5571469116
4	0.5295780436
5	0.5067987569
6	0.4845058187
7	0.4650218709
8	0.4468136597
9	0.4328428141
10	0.4164543406
11	0.4042481232
12	0.3928485107
13	0.3819288127
14	0.3713071696
15	0.3616974386
16	0.3531035868
17	0.3454173024
18	0.3392578125
19	0.3330348969
20	0.3261001078
21	0.3203597514
22	0.3150386047
23	0.3099199931
24	0.3054150899
25	0.30108078
26	0.297157135
27	0.2935552979
28	0.2900757345
29	0.2871606191
30	0.2850920614
31	0.2819294739
32	0.2790560913
33	0.2762306722
34	0.2741108704
35	0.2716479492
36	0.2694438934
37	0.2674246724
38	0.2654250081
39	0.2637864431
40	0.2622093455
41	0.2607896423
42	0.259479777
43	0.2579787191
44	0.256733195
45	0.255398407
46	0.2542415619
47	0.2532540385
48	0.2520471191
49	0.2511841583
50	0.2502024841
51	0.2493017324
52	0.2486523946
53	0.2477675374
54	0.2467945353
55	0.2459847514
56	0.2452418009
57	0.2447509766
58	0.2440910848
59	0.2435832214
60	0.2431157684
61	0.2426227061
62	0.2418992106
63	0.2413872528
64	0.2408103943
65	0.240343984
66	0.2398672994
67	0.2394099172
68	0.2388822937
69	0.2384467824
70	0.2380344899
71	0.2376848857
72	0.2374203491
73	0.2371169281
74	0.2367969259
75	0.236301651
76	0.2358791351
77	0.2355387878
78	0.2352370199
79	0.2349370066
80	0.2344574483
81	0.234127299
82	0.2338441976
83	0.2334789022
84	0.2330971273
85	0.2327540843
86	0.2325764465
87	0.2322236633
88	0.2318990835
89	0.2316124471
90	0.2313112895
91	0.2309126027
92	0.2305178833
93	0.2302376811
94	0.2299381002
95	0.2296237946
96	0.2291968028
97	0.2289283498
98	0.2286728414
99	0.2284298197
100	0.2281891632
101	0.2279884084
102	0.2278372192
103	0.2276730855
104	0.2274998728
105	0.2272991943
106	0.2270384725
107	0.2267318726
108	0.2265133158
109	0.2262060293
110	0.2260646057
111	0.2257195028
112	0.225485026
113	0.2252765656
114	0.2250456746
115	0.2247977956
116	0.224413147
117	0.2241826375
118	0.2239952342
119	0.2238121541
120	0.223455836
121	0.2232345072
122	0.2229964447
123	0.2227253469
124	0.2225571442
125	0.2222212219
126	0.2221036275
127	0.2219244385
128	0.2217438507
129	0.2215038808
130	0.22137441
131	0.2211214447
132	0.2209644826
133	0.2208438873
134	0.2206998698
135	0.2204877218
136	0.2202456156
137	0.2198710124
138	0.2196813711
139	0.2193798828
140	0.2192066956
141	0.2189735921
142	0.2189002991
143	0.2187546794
144	0.2185808309
145	0.2184411367
146	0.2182655843
147	0.2180473328
148	0.2178798421
149	0.2177076213
150	0.2175752258
151	0.2173917135
152	0.2172052765
153	0.2170534261
154	0.2168373617
155	0.2166886393
156	0.2165726725
157	0.2162835185
158	0.2161681112
159	0.2160197449
160	0.2158478292
161	0.2157000224
162	0.2156139628
163	0.2154371134
164	0.2152705383
165	0.2151185608
166	0.2149964905
167	0.2148266602
168	0.2145836385
169	0.2143973796
170	0.2141134898
171	0.2140209961
172	0.2138978577
173	0.2137523651
174	0.2135799154
175	0.2135071818
176	0.213398997
177	0.2132580566
178	0.2130693563
179	0.2129301961
180	0.2128186798
181	0.2126935959
182	0.2125813039
183	0.2124531555
184	0.2123152669
185	0.2122142792
186	0.2121180344
187	0.2119719442
188	0.2118537394
189	0.2117600123
190	0.2115037791
191	0.2112702052
192	0.2109878794
193	0.2107550303
194	0.2106905874
195	0.2105400848
196	0.2103290431
197	0.2101968384
198	0.2100790914
199	0.2099330266
200	0.2097506078
201	0.2095532481
202	0.2092943954
203	0.2091614024
204	0.2090476735
205	0.2088704681
206	0.2087699636
207	0.2085940043
208	0.2084638341
209	0.2083760198
210	0.2081468455
211	0.2080250041
212	0.2078479258
213	0.2077020391
214	0.2075556819
215	0.2073273087
216	0.2071456273
217	0.2069094086
218	0.2067691167
219	0.2065793355
220	0.2064890544
221	0.2063974253
222	0.2062851334
223	0.2061453501
224	0.2060505295
225	0.2059319051
226	0.2057683182
227	0.2056514359
228	0.2054676819
229	0.2053553899
230	0.2051493963
231	0.2049903361
232	0.2048420715
233	0.2046707408
234	0.2045518239
235	0.204385732
236	0.2042707952
237	0.2041488393
238	0.2039936574
239	0.2038095601
240	0.2036664836
241	0.203540446
242	0.203322703
243	0.2031865692
244	0.2030968094
245	0.2029644521
246	0.2028823344
247	0.202753334
248	0.2026246262
249	0.2024985504
250	0.2023967107
251	0.2023099391
252	0.2020657476
253	0.201858902
254	0.2018030294
255	0.2017042796
256	0.2015251033
257	0.201406072
258	0.2012470754
259	0.2011628977
260	0.2010524241
261	0.2009238434
262	0.2008061727
263	0.200664266
264	0.2005242157
265	0.2003845978
266	0.2001830419
267	0.2000998052
268	0.2000178274
269	0.1997992452
270	0.199666748
271	0.1995323435
272	0.1993493907
273	0.1991629791
274	0.1989947637
275	0.1988064702
276	0.1986835098
277	0.1986162313
278	0.1985248566
279	0.1984013621
280	0.1982702382
281	0.1982014847
282	0.1981115977
283	0.1980166117
284	0.1979231898
285	0.1976725769
286	0.1975550334
287	0.1974422963
288	0.1973216375
289	0.1972260793
290	0.1970276896
291	0.1969193014
292	0.1968289312
293	0.19671772
294	0.196461703
295	0.1963355509
296	0.1961715953
297	0.1959508769
298	0.1958047867
299	0.1956395849
300	0.1955170314
301	0.1953142548
302	0.1952139537
303	0.1950300344
304	0.1949332682
305	0.1947173436
306	0.1945839183
307	0.1944749324
308	0.1943518321
309	0.1942426173
310	0.1941242727
311	0.1940313085
312	0.1939290873
313	0.1938071442
314	0.1936477661
315	0.1935077413
316	0.1933808517
317	0.1932782237
318	0.1931715647
319	0.1929575602
320	0.1928078334
321	0.1927257284
322	0.1926132456
323	0.1924522018
324	0.192257309
325	0.1920958583
326	0.1919328308
327	0.1918426768
328	0.1916880925
329	0.1916076152
330	0.1914273326
331	0.1913094966
332	0.1911897151
333	0.1911283875
334	0.1910216141
335	0.1908852005
336	0.1906440989
337	0.1905301158
338	0.1903769684
339	0.1902446238
340	0.1901037216
341	0.1900231679
342	0.1898921967
343	0.1897625732
344	0.1896429062
345	0.1895462545
346	0.1893450673
347	0.1892694855
348	0.189136289
349	0.1890058899
350	0.188885994
351	0.1887847646
352	0.1886444473
353	0.1884743881
354	0.1883038584
355	0.1881706238
356	0.1879882304
357	0.1878760529
358	0.1877682877
359	0.1875879288
360	0.1875016022
361	0.1873710124
362	0.1872488403
363	0.1871600087
364	0.1870702616
365	0.1869378281
366	0.1868250529
367	0.1867174021
368	0.1866173808
369	0.1864852397
370	0.1863974508
371	0.1862826792
372	0.1862074025
373	0.1860474141
374	0.1859014893
375	0.1858040873
376	0.1857207489
377	0.1856074142
378	0.1855218633
379	0.1853948975
380	0.1851940155
381	0.1851033529
382	0.1849152501
383	0.1848353831
384	0.1847005208
385	0.1845843252
386	0.1844287618
387	0.1843320847
388	0.1841681417
389	0.1840824382
390	0.1839541117
391	0.1837773005
392	0.1836895498
393	0.1835546621
394	0.1834707896
395	0.1833773295
396	0.1832214737
397	0.1831314087
398	0.1829536184
399	0.1828098043
400	0.1826753998
401	0.1826099396
402	0.182566185
403	0.1824430974
404	0.1822961934
405	0.1821879578
406	0.1820633698
407	0.1819383748
408	0.1817881775
409	0.1816646322
410	0.1815861384
411	0.1814674377
412	0.1813577779
413	0.1812190628
414	0.1810969798
415	0.1809738286
416	0.1808955892
417	0.1807780202
418	0.1806440099
419	0.1804780706
420	0.180445048
421	0.180364507
422	0.1801873779
423	0.1800980377
424	0.1799196879
425	0.1797762171
426	0.1797074127
427	0.1795941162
428	0.1795755259
429	0.1794432576
430	0.1793172963
431	0.1791783778
432	0.1790675608
433	0.1789487584
434	0.1788649241
435	0.1787623596
436	0.1786189906
437	0.1785553741
438	0.1784190496
439	0.1783040619
440	0.1782264201
441	0.1781531016
442	0.178000323
443	0.1778582001
444	0.1776981608
445	0.1775939178
446	0.1775288645
447	0.1773412323
448	0.1772372182
449	0.1771223068
450	0.1769813665
451	0.1768820953
452	0.1767823919
453	0.1766316477
454	0.1765357971
455	0.1764068985
456	0.1762655258
457	0.176100146
458	0.1759901683
459	0.1758357112
460	0.1757327398
461	0.1755958811
462	0.1754192607
463	0.1753084056
464	0.1752444458
465	0.1750932312
466	0.1749526596
467	0.1748140971
468	0.1747235362
469	0.1746353658
470	0.1745034281
471	0.1744358317
472	0.1742911402
473	0.1740942891
474	0.1739943949
475	0.1738952382
476	0.1737546539
477	0.1736713664
478	0.1736011887
479	0.1734832255
480	0.1734300995
481	0.1733274841
482	0.1732497787
483	0.1731900787
484	0.1731507619
485	0.1730489095
486	0.1729825083
487	0.1728134282
488	0.1727350489
489	0.1726411438
490	0.1726276652
491	0.1724911372
492	0.1723691559
493	0.1722069804
494	0.1721078237
495	0.17201032
496	0.1719256592
497	0.1718356705
498	0.1717261759
499	0.1716014353
500	0.1714649582
501	0.1713543701
502	0.1712200673
503	0.1711387507
504	0.1710727946
505	0.1710179774
506	0.1708916473
507	0.1707337952
508	0.1706336212
509	0.1705565898
510	0.1704638672
511	0.1703832499
512	0.1702883657
513	0.1702067439
514	0.1700581868
515	0.1699962362
516	0.1699261093
517	0.1698562113
518	0.1697127533
519	0.169579366
520	0.1694728343
521	0.1693157959
522	0.1692248027
523	0.1691166941
524	0.1690234629
525	0.1689215597
526	0.1688371023
527	0.1686800003
528	0.16858874
529	0.1684134293
530	0.1683179601
531	0.1682324346
532	0.1680814107
533	0.1679773076
534	0.1677982203
535	0.1676549784
536	0.1675636927
537	0.1674823888
538	0.1673057048
539	0.1671894964
540	0.167067337
541	0.1669330597
542	0.1667769623
543	0.1666818746
544	0.1665303802
545	0.1664285405
546	0.1663351822
547	0.1662021383
548	0.1661500549
549	0.1660491816
550	0.1659771983
551	0.1658915456
552	0.1658323161
553	0.1657415899
554	0.1656115341
555	0.1655467224
556	0.1654534658
557	0.1653798167
558	0.1653361511
559	0.1652031581
560	0.1651234818
561	0.164956131
562	0.1648888652
563	0.1647422536
564	0.1645670319
565	0.164422938
566	0.1643659973
567	0.1643241501
568	0.1642370987
569	0.1641361618
570	0.1640487925
571	0.1639525477
572	0.1638902156
573	0.1637651189
574	0.1636531957
575	0.1635697428
576	0.163502655
577	0.1634108226
578	0.1633838399
579	0.1632657623
580	0.1631553396
581	0.163015976
582	0.1629435984
583	0.1628308868
584	0.1627682495
585	0.1627142334
586	0.1626184209
587	0.1624886958
588	0.1623939387
589	0.162320048
590	0.1621692276
591	0.1621026103
592	0.1619378281
593	0.1618467331
594	0.1617102051
595	0.1616396586
596	0.1615310669
597	0.1614705149
598	0.1613606771
599	0.1612862396
600	0.1612193298
601	0.1611200587
602	0.1610398356
603	0.1609682973
604	0.1609157689
605	0.1608365885
606	0.160694987
607	0.1605128479
608	0.1604039892
609	0.1603366852
610	0.160250651
611	0.160142924
612	0.1600664775
613	0.1599626414
614	0.1598644384
615	0.1598411051
616	0.1597912089
617	0.1596605428
618	0.1595798365
619	0.1595213191
620	0.1594357554
621	0.1593380229
622	0.1592694219
623	0.1591357549
624	0.1590781021
625	0.1590094757
626	0.1589170202
627	0.1588092295
628	0.1587255859
629	0.1586323929
630	0.1585664876
631	0.1584544118
632	0.158395106
633	0.1583090591
634	0.1582457225
635	0.1581697591
636	0.1581041972
637	0.1580185318
638	0.1579587301
639	0.1578317006
640	0.157730573
641	0.1575822576
642	0.1574930827
643	0.1574686178
644	0.1573286311
645	0.157212321
646	0.1571017965
647	0.1570261637
648	0.1569553248
649	0.1568576813
650	0.1567605591
651	0.1566948318
652	0.1565314611
653	0.1564457703
654	0.1563645554
655	0.1562642543
656	0.1561687469
657	0.1560920461
658	0.1559851964
659	0.1558095932
660	0.1557115936
661	0.1556264623
662	0.1555167898
663	0.1554381434
664	0.1553400675
665	0.1552561442
666	0.1551697032
667	0.1550932312
668	0.1549749756
669	0.1549222819
670	0.1548064168
671	0.1547399394
672	0.1546869405
673	0.1546043142
674	0.15455218
675	0.1544597117
676	0.1543584696
677	0.1542619451
678	0.1541189321
679	0.1540363693
680	0.1539427185
681	0.1538480123
